Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,word_count
2366,88,37,3,"How did it go, Hagrid? The hearing?",7
2412,90,32,3,"Oh, do you mind me trying? The Grim, possibly.",9
2425,91,40,3,I can't believe they're going to kill Buckbeak. It's just too horrible.,12
2428,91,40,3,"You! You foul, loathsome, evil little cockroach!",7
2437,91,40,3,"We'll stay with you too, Hagrid.",6
2441,91,40,3,I think that means you owe someone an apology.,9
2465,91,40,3,I thought I just saw... Never mind.,7
2474,92,67,3,"Harry, you do realize what tree this is?",8
2477,92,67,3,"Ron! Ron, wait! Harry!",4
2484,92,67,3,Where do you suppose this goes?,6
2486,92,20,3,"We're in the Shrieking Shack, aren't we?",7
2488,93,20,3,Ron. You're okay. The dog. Where is it?,8
2490,93,20,3,"If you want to kill Harry, you'll have to kill us too!",12
2500,93,20,3,"No! I trusted you! And all this time, you've been his friend. He's a werewolf! That's why he's been missing classes.",21
2502,93,20,3,Since Professor Snape set the essay.,6
2528,94,20,3,You attacked a teacher!,4
2562,95,67,3,"You go, I'll stay.",4
2565,95,67,3,That looks really painful.,4
2567,95,67,3,I'm sure Madam Pomfrey will fix it in a heartbeat.,10
2596,97,43,3,"Listen Harry, they've captured Sirius. Any minute the dementors are going to perform the Kiss.",15
2598,97,43,3,"No. It's worse. Much worse. They're going to suck out his soul. Headmaster, you've got to stop them. They've got the wrong man.",23
2603,97,43,3,"The point is, we know the truth. Please believe us.",10
2606,97,43,3,"Sorry, Ron, but seeing as you can't walk...",8
2608,98,43,3,7:30. Where were we at 7:30?,6
2610,98,43,3,Come on. And we can't be seen.,7
2612,98,40,3,"You foul, loathsome, evil little cockroach!",6
2616,98,40,3,"This is a Time-Turner, Harry. McGonagall gave it to me first term. This is how I've been getting to my lessons all year.",23
2618,98,40,3,"Yes. Dumbledore obviously wanted us to return to this moment. Clearly, something happened he wants us to change.",18
2627,99,40,3,"Of course. Remember what Dumbledore said? If we succeed, more than one innocent life could be spared. Let's go.",19
2629,99,40,3,"Fudge has to see Buckbeak before we steal him. Otherwise, he'll think Hagrid set him free.",16
2635,99,40,3,"Yes, and you must! Harry, you're in Hagrid's hut now. If you just go bursting in, you'll think you've gone mad. Awful things happen to wizards who meddle with time. We can't be seen.",34
2636,99,40,3,Fudge is coming. And we aren't leaving? Why aren't we leaving?,11
2640,99,40,3,Sorry. We're coming out the back door. Go!,8
2641,99,40,3,Is that really what my hair looks like from the back?,11
2645,99,40,3,"Okay, go, Harry. Go!",4
2649,99,40,3,"Okay, Buckbeak. Come quickly. Come with us now. Come on.",10
2650,99,40,3,Keep trying. Come on. Quickly. Buckbeak. Okay? Quickly. Hurry up. Okay?,11
2653,99,40,3,"Hurry up now, Buckbeak, okay? Come on. Come on, Buckbeak. Come and get the nice dead ferret. Come on. It's here. Come on, Beaky.",24
2661,99,40,3,"Come on, Buckbeak. Come on.",5
2682,99,67,3,No idea. Look. It's Lupin.,5
2686,99,67,3,And now we wait.,4
2687,100,67,3,At least someone's enjoying himself.,5
2691,100,67,3,With a Patronus. I heard Snape telling Dumbledore. According to him... only a really powerful wizard could have conjured it.,20
2693,100,67,3,"Harry, but your dad's... Dead. I know. I'm just telling you what I saw.",14
2702,100,67,3,"Yeah, I didn't think about that. Run!",7
2703,100,67,3,That was so scary.,4
2707,100,37,3,"Harry, listen to me. No one's coming.",7
2709,100,37,3,You're dying... both of you. Harry!,6
2713,100,37,3,But I don't like flying...!,5
2722,100,37,3,We have to go.,4
2727,101,43,3,"What's he talking about, Harry?",5
2749,103,36,3,This came with it.,4
2752,103,36,3,"How fast is it, Harry?",5
2765,105,17,3,Wake up. Wake up Ronald!,5
2767,105,17,3,"Honestly. Get dressed, and don't go back to sleep. Come on Ron! Your mother says breakfast's ready.",17
2837,107,72,3,Harry it's his mark.,4
2854,107,42,3,"This is horrible, how can the ministry not know who conjured it. Isn't there any security or?",17
2856,107,42,3,"It's hurting again isn't it, your scar.",7
2858,107,42,3,"You know Sirius will want to hear about this. What you saw at the world cup, and the dream.",19
2876,108,36,3,Alastor Moody? The aura.,4
2890,109,30,3,Because they are unforgivable. Use of any one of them will...,11
2907,109,30,3,"Stop it! Can't you see it's bothering him, stop it!",10
2911,109,30,3,"There's a reason those curses are unforgivable, and to perform them in a classroom. I mean did you see Neville's face.",21
2919,109,36,3,It's not going to work.,5
2921,109,36,3,You see this? This is an age line. Dumbledore drew it himself.,12
2923,109,36,3,So a genius like Dumbledore couldn't possibly be fooled by something pathetically dimwitted such as an age potion.,18
2936,110,36,3,Go on Harry. Harry for goodness sake.,7
3016,114,37,3,We've already been through enough people why don't you just go and do it yourself? Ughh. What do you want me to say again?,24
3017,114,37,3,Ronald would like me to tell you that Seamus told him that Dean was told by Parvati that Hagrid was looking for you.,23
3020,114,37,3,Dean was told by Parvati that... Please don't ask me say it again. Hagrid's looking for you.,17
3022,114,37,3,I'm NOT an owl!,4
3082,116,51,3,Pssst! Harry? Is that you?,5
